65	St. Louis[m]	Missouri	300,576	319,294	−5.86%	62.0 sq mi	160.6 km2	5,023/sq mi	1,939/km2	38.6357°N 90.2446°W
66	Pittsburgh	Pennsylvania	300,286	305,704	−1.77%	55.4 sq mi	143.5 km2	5,481/sq mi	2,116/km2	40.4398°N 79.9766°W
67	Greensboro	North Carolina	296,710	269,666	+10.03%	128.3 sq mi	332.3 km2	2,237/sq mi	864/km2	36.0951°N 79.8270°W
68	Lincoln	Nebraska	289,102	258,379	+11.89%	92.1 sq mi	238.5 km2	3,044/sq mi	1,175/km2	40.8105°N 96.6803°W
69	Anchorage[p]	Alaska	288,000	291,826	−1.31%	1,706.6 sq mi	4,420.1 km2	175/sq mi	68/km2	61.1743°N 149.2843°W
70	Plano	Texas	287,677	259,841	+10.71%	71.7 sq mi	185.7 km2	3,990/sq mi	1,540/km2	33.0508°N 96.7479°W
71	Orlando	Florida	287,442	238,300	+20.62%	105.2 sq mi	272.5 km2	2,635/sq mi	1,017/km2	28.4166°N 81.2736°W
72	Irvine	California	287,401	212,375	+35.33%	65.6 sq mi	169.9 km2	4,057/sq mi	1,566/km2	33.6784°N 117.7713°W
73	Newark	New Jersey	282,011	277,140	+1.76%	24.1 sq mi	62.4 km2	11,691/sq mi	4,514/km2	40.7242°N 74.1726°W
74	Durham	North Carolina	278,993	228,330	+22.19%	109.8 sq mi	284.4 km2	2,395/sq mi	925/km2	35.9811°N 78.9029°W
75	Chula Vista	California	274,492	243,916	+12.54%	49.6 sq mi	128.5 km2	5,387/sq mi	2,080/km2	32.6277°N 117.0152°W
76	Toledo	Ohio	272,779	287,208	−5.02%	80.7 sq mi	209.0 km2	3,451/sq mi	1,332/km2	41.6641°N 83.5819°W
77	Fort Wayne	Indiana	270,402	253,691	+6.59%	110.6 sq mi	286.5 km2	2,391/sq mi	923/km2	41.0882°N 85.1439°W
78	St. Petersburg	Florida	265,351	244,769	+8.41%	61.8 sq mi	160.1 km2	4,223/sq mi	1,631/km2	27.7620°N 82.6441°W
79	Laredo	Texas	262,491	236,091	+11.18%	101.1 sq mi	261.8 km2	2,544/sq mi	982/km2	27.5604°N 99.4892°W
80	Jersey City	New Jersey	262,075	247,597	+5.85%	14.8 sq mi	38.3 km2	17,848/sq mi	6,891/km2	40.7114°N 74.0648°W
81	Chandler	Arizona	261,165	236,123	+10.61%	64.9 sq mi	168.1 km2	3,813/sq mi	1,472/km2	33.2829°N 111.8549°W
82	Madison	Wisconsin	259,680	233,209	+11.35%	77.0 sq mi	199.4 km2	3,280/sq mi	1,270/km2	43.0878°N 89.4299°W
83	Lubbock	Texas	258,862	229,573	+12.76%	124.6 sq mi	322.7 km2	2,027/sq mi	783/km2	33.5656°N 101.8867°W
84	Scottsdale	Arizona	258,069	217,385	+18.72%	183.9 sq mi	476.3 km2	1,341/sq mi	518/km2	33.6843°N 111.8611°W
85	Reno	Nevada	255,601	225,221	+13.49%	107.3 sq mi	277.9 km2	2,286/sq mi	883/km2	39.5491°N 119.8499°W
86	Buffalo	New York	255,284	261,310	−2.31%	40.4 sq mi	104.6 km2	6,359/sq mi	2,455/km2	42.8925°N 78.8597°W
87	Gilbert[q]	Arizona	254,114	208,453	+21.90%	68.0 sq mi	176.1 km2	3,487/sq mi	1,346/km2	33.3103°N 111.7431°W
88	Glendale	Arizona	252,381	226,721	+11.32%	59.1 sq mi	153.1 km2	4,161/sq mi	1,607/km2	33.5331°N 112.1899°W
89	North Las Vegas	Nevada	251,974	216,961	+16.14%	98.0 sq mi	253.8 km2	2,436/sq mi	941/km2	36.2857°N 115.0939°W
90	Winston–Salem	North Carolina	247,945	229,617	+7.98%	132.5 sq mi	343.2 km2	1,828/sq mi	706/km2	36.1027°N 80.2610°W
91	Chesapeake[m]	Virginia	244,835	222,209	+10.18%	338.5 sq mi	876.7 km2	703/sq mi	271/km2	36.6794°N 76.3018°W
92	Norfolk[m]	Virginia	242,742	242,803	−0.03%	53.3 sq mi	138.0 km2	4,599/sq mi	1,776/km2	36.9230°N 76.2446°W
93	Fremont	California	241,110	214,089	+12.62%	77.5 sq mi	200.7 km2	3,008/sq mi	1,161/km2	37.4945°N 121.9412°W
94	Garland	Texas	239,928	226,876	+5.75%	57.0 sq mi	147.6 km2	4,122/sq mi	1,592/km2	32.9098°N 96.6303°W
95	Irving	Texas	239,798	216,290	+10.87%	67.0 sq mi	173.5 km2	3,557/sq mi	1,373/km2	32.8577°N 96.9700°W
96	Hialeah	Florida	233,339	224,669	+3.86%	21.5 sq mi	55.7 km2	10,995/sq mi	4,245/km2	25.8699°N 80.3029°W
97	Richmond[m]	Virginia	230,436	204,214	+12.84%	59.8 sq mi	154.9 km2	3,732/sq mi	1,441/km2	37.5314°N 77.4760°W
98	Boise[r]	Idaho	228,959	205,671	+11.32%	82.1 sq mi	212.6 km2	2,718/sq mi	1,049/km2	43.6002°N 116.2317°W
99	Spokane	Washington	222,081	208,916	+6.30%	68.7 sq mi	177.9 km2	3,144/sq mi	1,214/km2	47.6669°N 117.4333°W
100	Baton Rouge[s]	Louisiana	220,236	229,493	−4.03%	85.9 sq mi	222.5 km2	2,651/sq mi	1,024/km2	30.4422°N 91.1309°W
101	Tacoma	Washington	217,827	198,397	+9.79%	49.7 sq mi	128.7 km2	4,251/sq mi	1,641/km2	47.2522°N 122.4598°W
102	San Bernardino	California	215,784	209,924	+2.79%	61.5 sq mi	159.3 km2	3,516/sq mi	1,358/km2	34.1416°N 117.2936°W
103	Modesto	California	215,196	201,165	+6.97%	43.0 sq mi	111.4 km2	4,934/sq mi	1,905/km2	37.6375°N 121.0030°W
104	Fontana	California	214,547	196,069	+9.42%	43.0 sq mi	111.4 km2	4,876/sq mi	1,883/km2	34.1090°N 117.4629°W
105	Des Moines	Iowa	214,237	203,433	+5.31%	88.9 sq mi	230.2 km2	2,424/sq mi	936/km2	41.5726°N 93.6102°W
106	Moreno Valley	California	213,055	193,365	+10.18%	51.3 sq mi	132.9 km2	4,006/sq mi	1,547/km2	33.9233°N 117.2057°W
107	Santa Clarita	California	212,979	176,320	+20.79%	52.8 sq mi	136.8 km2	3,446/sq mi	1,331/km2	34.4030°N 118.5042°W
108	Fayetteville	North Carolina	211,657	200,564	+5.53%	147.7 sq mi	382.5 km2	1,386/sq mi	535/km2	35.0828°N 78.9735°W
109	Birmingham	Alabama	209,403	212,237	−1.34%	146.1 sq mi	378.4 km2	1,452/sq mi	561/km2	33.5274°N 86.7990°W
110	Oxnard	California	208,881	197,899	+5.55%	26.9 sq mi	69.7 km2	7,729/sq mi	2,984/km2	34.2023°N 119.2046°W
111	Rochester	New York	205,695	210,565	−2.31%	35.8 sq mi	92.7 km2	5,835/sq mi	2,253/km2	43.1699°N 77.6169°W
112	Port St. Lucie	Florida	201,846	164,603	+22.63%	118.9 sq mi	307.9 km2	1,557/sq mi	601/km2	27.2806°N 80.3883°W
113	Grand Rapids	Michigan	201,013	188,040	+6.90%	44.4 sq mi	115.0 km2	4,424/sq mi	1,708/km2	42.9612°N 85.6556°W
